name,locality,cuisine,all_cuisines,price_for_two,rating,votes,restaurant_type,veg_only,distance_km
Cup Chronicles Cafe,Indiranagar,Cafe,"Cafe, Continental, Tea, Beverages, Desserts",450,3.9,48,Cafe,True,3.7
Fort Kochi,MG Road,Kerala,"Kerala, Seafood",1800,4.1,335,"Casual Dining, Bar",False,3.4
Ambur Star Dum Biryani,Jayanagar,Biryani,Biryani,100,3.4,17,Quick Bites,False,8.9
Bawarchi Biryani,Koramangala 6th Block,Biryani,"Biryani, South Indian",350,3.4,65,Quick Bites,False,8.1
Savera Cafe,Shivajinagar,Cafe,Cafe,50,3.7,11,Cafe,True,7.2
Rafees Biryani,Koramangala 5th Block,Biryani,"Biryani, North Indian, Desserts",600,3.7,28,"Takeaway, Delivery",False,0.8
Dakshin - ITC Windsor,Sankey Road,South Indian,South Indian,4000,4.3,202,Fine Dining,False,9.7
Berrylicious,JP Nagar,Ice Cream,"Ice Cream, Desserts, Bakery",400,3.8,89,Dessert Parlor,True,3.3
Cocoa 'n' Crme,JP Nagar,Bakery,"Bakery, Desserts",250,3.5,11,Bakery,True,9.2
Chillz,JP Nagar,Fast Food,"Fast Food, Juices, Street Food",100,3.5,9,Quick Bites,True,10.7
Biggies Burger 'n' More,Electronic City,Cafe,"Cafe, Burger, Beverages",650,3.9,176,Quick Bites,False,2.8
Swathi,Rajajinagar,Andhra,"Andhra, North Indian, Chinese",700,3.8,591,Casual Dining,False,4.1
Chaska Box,Sarjapur Road,Bakery,"Bakery, Desserts",1400,3.3,4,"Takeaway, Delivery",True,10.6
Mumbai Kulfi,HSR,Ice Cream,Ice Cream,100,4.0,92,Dessert Parlor,True,10.3
Cake Yard,Koramangala 7th Block,Desserts,Desserts,250,2.9,30,Dessert Parlor,True,8.1
Chettayees,BTM,Kerala,"Kerala, North Indian, Chinese",400,3.4,147,Quick Bites,False,7.1
Aapni Rasoi,Bellandur,North Indian,North Indian,400,3.2,127,Quick Bites,True,2.0
The Lobby Brew - Conrad Bengaluru,Ulsoor,Cafe,"Cafe, North Indian, Fast Food",2200,3.8,25,Cafe,True,2.6
Lobby Cafe - Radha Regent,Electronic City,Continental,"Continental, American, South Indian, Italian, North Indian, Chinese",1200,3.7,177,Casual Dining,False,10.7
Royal Afghan - ITC Windsor,Sankey Road,North Indian,"North Indian, Mughlai",5000,4.3,413,Fine Dining,False,5.1
Keventers,Basaveshwara Nagar,Beverages,"Beverages, Desserts, Ice Cream",400,3.7,39,"Beverage Shop, Dessert Parlor",True,2.5
Domino's Pizza,Rajajinagar,Pizza,"Pizza, Fast Food",400,3.9,392,Quick Bites,True,3.7
Asha Sweets Centre,Basavanagudi,Fast Food,Fast Food,250,3.6,27,Dessert Parlor,True,6.7
Shaken & Stirred,Race Course Road,Continental,"Continental, North Indian, Chinese",1500,3.9,84,"Bar, Casual Dining",False,2.9
WOW! Momo,Marathahalli,Chinese,"Chinese, Momos",400,3.5,79,Quick Bites,False,5.1
Momoz,Koramangala 5th Block,Chinese,"Chinese, Momos",600,3.9,625,Casual Dining,False,7.0
Kitchen Aroma,Whitefield,Desserts,Desserts,400,3.4,7,Takeaway,True,3.9
Lassi Magic,BTM,Beverages,"Beverages, Sandwich",150,3.5,12,Beverage Shop,True,4.6
Panther Cafe,BTM,Beverages,Beverages,200,3.5,8,Beverage Shop,True,9.7
Smoke-A-Pot,Koramangala 5th Block,Biryani,"Biryani, Kebab, Rolls",500,3.3,10,"Takeaway, Delivery",False,2.2
Cake Palace,Indiranagar,Bakery,Bakery,100,3.4,11,Dessert Parlor,True,1.3
Amma's Cafe,HSR,Fast Food,Fast Food,300,3.2,6,Quick Bites,True,2.7
Cakesta,"ITPL Main Road, Whitefield",Bakery,"Bakery, Desserts",500,4.1,119,Bakery,False,8.5
Nellore Dosa Camp,BTM,Andhra,"Andhra, South Indian",70,3.3,5,Quick Bites,True,8.7
Street Foods by Punjab Grill,Bannerghatta Road,Street Food,"Street Food, North Indian, Beverages",800,3.6,19,Food Court,False,10.8
Nandanam Family Restaurant,BTM,Kerala,"Kerala, Chinese, South Indian",350,3.6,18,Quick Bites,True,11.3
Chef Baker's,HSR,Continental,"Continental, Cafe, Desserts, Italian, Bakery",600,3.9,204,"Bakery, Cafe",False,9.0
